,house_type,house_size,location,price,numBalconies,numBathrooms,SecurityDeposit,Status,category,numBedrooms,ratio_per_room,PricePerSqft
1352,2 BHK Apartment ,750,Thane West,40000,,1.0,No Deposit,Unfurnished,apartment,2,20000.0,53.333333333333336
1353,1 BHK Apartment ,690,Ulwe,7500,,1.0,No Deposit,Semi-Furnished,apartment,1,7500.0,10.869565217391305
1354,2 BHK Apartment ,1200,Ulwe,11000,,2.0,No Deposit,Semi-Furnished,apartment,2,5500.0,9.166666666666666
1355,1 BHK Apartment ,680,Ulwe,9000,,1.0,No Deposit,Semi-Furnished,apartment,1,9000.0,13.235294117647058
1356,3 BHK Apartment ,1800,Seawoods,82000,,3.0,No Deposit,Semi-Furnished,apartment,3,27333.333333333332,45.55555555555556
1357,4 BHK Independent House ,2200,Nerul,56000,,4.0,No Deposit,Semi-Furnished,villa,4,14000.0,25.454545454545453
1358,2 BHK Apartment ,1250,Kharghar,29000,,2.0,No Deposit,Semi-Furnished,apartment,2,14500.0,23.2
1359,2 BHK Apartment ,1150,Seawoods,61000,,2.0,No Deposit,Furnished,apartment,2,30500.0,53.04347826086956
1360,2 BHK Apartment ,1250,Kharghar,32000,,2.0,No Deposit,Furnished,apartment,2,16000.0,25.6
1361,1 BHK Apartment ,610,Ulwe,9500,,1.0,No Deposit,Unfurnished,apartment,1,9500.0,15.573770491803279
1362,1 BHK Apartment ,600,Bandra West,65000,,2.0,No Deposit,Furnished,apartment,1,65000.0,108.33333333333333
1363,1 BHK Apartment ,650,Bandra West,120000,,2.0,No Deposit,Furnished,apartment,1,120000.0,184.6153846153846
1364,2 BHK Apartment ,1000,Wadala,79100,,2.0,No Deposit,Unfurnished,apartment,2,39550.0,79.1
1365,2 BHK Apartment ,1500,Wadala,91000,,2.0,No Deposit,Unfurnished,apartment,2,45500.0,60.666666666666664
1366,2 BHK Apartment ,935,Wadala,90000,,2.0,No Deposit,Unfurnished,apartment,2,45000.0,96.2566844919786
1367,1 BHK Apartment ,650,Chembur,40000,,1.0,No Deposit,Unfurnished,apartment,1,40000.0,61.53846153846154
1368,2 BHK Apartment ,1200,Kalyan West,16000,,3.0,No Deposit,Semi-Furnished,apartment,2,8000.0,13.333333333333334
1369,3 BHK Apartment ,950,Borivali West,35000,,2.0,No Deposit,Unfurnished,apartment,3,11666.666666666666,36.8421052631579
1370,1 BHK Apartment ,550,Dahisar,21000,,2.0,No Deposit,Semi-Furnished,apartment,1,21000.0,38.18181818181818
1371,2 BHK Apartment ,1050,Panvel,15000,,2.0,No Deposit,Semi-Furnished,apartment,2,7500.0,14.285714285714286
1372,2 BHK Apartment ,1050,Panvel,15000,,2.0,No Deposit,Semi-Furnished,apartment,2,7500.0,14.285714285714286
1373,2 BHK Apartment ,1200,Khar West,135000,,2.0,No Deposit,Furnished,apartment,2,67500.0,112.5
1374,1 BHK Apartment ,600,Bandra West,60000,,1.0,No Deposit,Furnished,apartment,1,60000.0,100.0
1375,3 BHK Apartment ,1600,Bandra West,150000,,3.0,No Deposit,Furnished,apartment,3,50000.0,93.75
1376,1 BHK Apartment ,850,Bandra West,70000,,2.0,No Deposit,Semi-Furnished,apartment,1,70000.0,82.3529411764706
1377,1 BHK Apartment ,680,Kalyan West,17000,,1.0,No Deposit,Furnished,apartment,1,17000.0,25.0
1378,2 BHK Apartment ,800,Kalyan West,13000,,2.0,No Deposit,Unfurnished,apartment,2,6500.0,16.25
1379,2 BHK Apartment ,750,Kamothe,13000,,2.0,No Deposit,Unfurnished,apartment,2,6500.0,17.333333333333332
1380,2 BHK Apartment ,900,Andheri West,75000,,2.0,No Deposit,Furnished,apartment,2,37500.0,83.33333333333333
1381,3 BHK Apartment ,2300,Goregaon West,140000,,3.0,No Deposit,Furnished,apartment,3,46666.666666666664,60.869565217391305
1382,2 BHK Apartment ,800,Andheri West,75000,,2.0,No Deposit,Furnished,apartment,2,37500.0,93.75
1383,1 BHK Apartment ,500,Jogeshwari West,29000,,1.0,No Deposit,Semi-Furnished,apartment,1,29000.0,58.0
1384,1 BHK Apartment ,340,Andheri East,22000,,1.0,No Deposit,Unfurnished,apartment,1,22000.0,64.70588235294117
1385,1 BHK Apartment ,470,Goregaon West,24000,,1.0,No Deposit,Unfurnished,apartment,1,24000.0,51.06382978723404
1386,1 BHK Apartment ,360,Andheri West,23000,,1.0,No Deposit,Unfurnished,apartment,1,23000.0,63.888888888888886
1387,1 BHK Apartment ,350,Jogeshwari West,25000,,1.0,No Deposit,Semi-Furnished,apartment,1,25000.0,71.42857142857143
1388,2 BHK Apartment ,1200,Jogeshwari West,65000,,2.0,No Deposit,Unfurnished,apartment,2,32500.0,54.166666666666664
1389,2 BHK Apartment ,1200,Malabar Hill,200000,,2.0,No Deposit,Furnished,apartment,2,100000.0,166.66666666666666
1390,1 BHK Apartment ,600,Jogeshwari West,36000,,2.0,No Deposit,Unfurnished,apartment,1,36000.0,60.0
1391,2 BHK Apartment ,900,Kalyan West,18000,,2.0,No Deposit,Unfurnished,apartment,2,9000.0,20.0
1392,1 BHK Apartment ,350,Malad West,21000,,1.0,No Deposit,Furnished,apartment,1,21000.0,60.0
1393,2 BHK Apartment ,1120,Kharghar,35000,,2.0,No Deposit,Unfurnished,apartment,2,17500.0,31.25
1394,1 BHK Apartment ,610,Kalyan West,12000,,1.0,No Deposit,Semi-Furnished,apartment,1,12000.0,19.672131147540984
1395,2 BHK Apartment ,774,Dombivali,9500,,2.0,No Deposit,Unfurnished,apartment,2,4750.0,12.27390180878553
1396,2 BHK Apartment ,970,Kandivali East,45000,,2.0,No Deposit,Unfurnished,apartment,2,22500.0,46.391752577319586
1397,3 BHK Apartment ,1765,Kandivali East,68000,,3.0,No Deposit,Semi-Furnished,apartment,3,22666.666666666668,38.52691218130312
1398,1 BHK Apartment ,735,Kandivali East,38000,,2.0,No Deposit,Semi-Furnished,apartment,1,38000.0,51.70068027210884
1399,1 BHK Apartment ,450,Kandivali East,32000,,1.0,No Deposit,Furnished,apartment,1,32000.0,71.11111111111111
1400,3 BHK Apartment ,1255,Kandivali East,46000,,2.0,No Deposit,Unfurnished,apartment,3,15333.333333333334,36.65338645418327
1401,3 BHK Apartment ,1765,Kandivali East,85000,,3.0,No Deposit,Semi-Furnished,apartment,3,28333.333333333332,48.1586402266289
1402,2 BHK Apartment ,1000,Kandivali East,43000,,2.0,No Deposit,Semi-Furnished,apartment,2,21500.0,43.0
1403,2 BHK Apartment ,1090,Kandivali East,50000,,2.0,No Deposit,Semi-Furnished,apartment,2,25000.0,45.87155963302752
1404,3 BHK Apartment ,1255,Kandivali East,52000,,2.0,No Deposit,Furnished,apartment,3,17333.333333333332,41.43426294820717
1405,2 BHK Apartment ,1250,Powai,60000,,2.0,No Deposit,Semi-Furnished,apartment,2,30000.0,48.0
1406,2 BHK Apartment ,1050,Kanjurmarg,35000,,2.0,No Deposit,Unfurnished,apartment,2,17500.0,33.333333333333336
1407,1 BHK Apartment ,550,Jogeshwari West,38000,,1.0,No Deposit,Unfurnished,apartment,1,38000.0,69.0909090909091
1408,1 BHK Apartment ,695,Andheri West,34750,,1.0,No Deposit,Unfurnished,apartment,1,34750.0,50.0
1409,1 BHK Apartment ,1360,Jogeshwari West,31500,,2.0,No Deposit,Unfurnished,apartment,1,31500.0,23.16176470588235
1410,1 BHK Apartment ,700,Koper Khairane,20000,,2.0,No Deposit,Semi-Furnished,apartment,1,20000.0,28.571428571428573
1411,1 BHK Apartment ,655,Chembur,45000,,1.0,No Deposit,Unfurnished,apartment,1,45000.0,68.70229007633588
1412,1 BHK Apartment ,580,Deonar,50000,,1.0,No Deposit,Furnished,apartment,1,50000.0,86.20689655172414
1413,2 BHK Apartment ,700,Thane West,30000,,2.0,No Deposit,Furnished,apartment,2,15000.0,42.857142857142854
1414,2 BHK Apartment ,1200,Ulwe,12000,,2.0,No Deposit,Unfurnished,apartment,2,6000.0,10.0
1415,1 BHK Apartment ,725,Ulwe,11000,,2.0,No Deposit,Unfurnished,apartment,1,11000.0,15.172413793103448
1416,1 BHK Apartment ,730,Ulwe,10000,,2.0,No Deposit,Unfurnished,apartment,1,10000.0,13.698630136986301
1417,1 BHK Apartment ,680,Ulwe,8500,,1.0,No Deposit,Unfurnished,apartment,1,8500.0,12.5
1418,1 BHK Apartment ,310,Thane West,22000,,1.0,No Deposit,Unfurnished,apartment,1,22000.0,70.96774193548387
1419,1 BHK Apartment ,650,Thane West,30000,,1.0,No Deposit,Unfurnished,apartment,1,30000.0,46.15384615384615
1420,2 BHK Apartment ,600,Andheri West,56000,,2.0,No Deposit,Semi-Furnished,apartment,2,28000.0,93.33333333333333
1421,2 BHK Apartment ,900,Panvel,22000,,2.0,No Deposit,Semi-Furnished,apartment,2,11000.0,24.444444444444443
1422,2 BHK Apartment ,1050,Malad West,46000,,2.0,No Deposit,Unfurnished,apartment,2,23000.0,43.80952380952381
1423,2 BHK Apartment ,1100,Ulwe,14000,,2.0,No Deposit,Semi-Furnished,apartment,2,7000.0,12.727272727272727
1424,2 BHK Apartment ,1200,Jogeshwari West,50000,,2.0,No Deposit,Unfurnished,apartment,2,25000.0,41.666666666666664
1425,2 BHK Apartment ,700,Thane West,30000,,2.0,No Deposit,Furnished,apartment,2,15000.0,42.857142857142854
1426,1 BHK Apartment ,550,Thane West,34000,,2.0,No Deposit,Semi-Furnished,apartment,1,34000.0,61.81818181818182
1427,2 BHK Apartment ,1200,Chembur,75000,,2.0,No Deposit,Unfurnished,apartment,2,37500.0,62.5
1428,2 BHK Apartment ,995,Chembur,56000,,2.0,No Deposit,Semi-Furnished,apartment,2,28000.0,56.28140703517588
1429,4 BHK Apartment ,2000,Borivali West,40000,,4.0,No Deposit,Furnished,apartment,4,10000.0,20.0
1430,3 BHK Apartment ,1580,Chembur,90000,,3.0,No Deposit,Semi-Furnished,apartment,3,30000.0,56.962025316455694
1431,2 BHK Apartment ,700,Jogeshwari West,36000,,1.0,No Deposit,Unfurnished,apartment,2,18000.0,51.42857142857143
1432,1 BHK Apartment ,650,Dombivali,7500,,1.0,No Deposit,Unfurnished,apartment,1,7500.0,11.538461538461538
1433,2 BHK Apartment ,850,Dombivali,8500,,2.0,No Deposit,Unfurnished,apartment,2,4250.0,10.0
1434,2 BHK Apartment ,1098,Dombivali,9500,,2.0,No Deposit,Unfurnished,apartment,2,4750.0,8.652094717668488
1435,3 BHK Apartment ,1200,Dombivali,12000,,2.0,No Deposit,Unfurnished,apartment,3,4000.0,10.0
1436,2 BHK Apartment ,819,Dombivali East,13000,,2.0,No Deposit,Semi-Furnished,apartment,2,6500.0,15.873015873015873
1437,1 BHK Apartment ,594,Dombivali,9000,,1.0,No Deposit,Unfurnished,apartment,1,9000.0,15.151515151515152
1438,1 BHK Apartment ,584,Dombivali,10000,,1.0,No Deposit,Unfurnished,apartment,1,10000.0,17.123287671232877
1439,2 BHK Apartment ,918,Dombivali,11000,,2.0,No Deposit,Unfurnished,apartment,2,5500.0,11.982570806100219
1440,2 BHK Apartment ,1050,Chembur,46000,,2.0,No Deposit,Unfurnished,apartment,2,23000.0,43.80952380952381
1441,3 BHK Apartment ,1322,Chembur,72000,,2.0,No Deposit,Semi-Furnished,apartment,3,24000.0,54.46293494704992
1442,2 BHK Apartment ,990,Kalyan West,18200,,2.0,No Deposit,Unfurnished,apartment,2,9100.0,18.383838383838384
1443,3 BHK Apartment ,1770,Seawoods,50000,,3.0,No Deposit,Semi-Furnished,apartment,3,16666.666666666668,28.24858757062147
1444,3 BHK Apartment ,1560,Nerul,60000,,2.0,No Deposit,Semi-Furnished,apartment,3,20000.0,38.46153846153846
1445,1 BHK Apartment ,725,Thakurli,9300,,1.0,No Deposit,Semi-Furnished,apartment,1,9300.0,12.827586206896552
1446,2 BHK Apartment ,1150,Dombivali,12000,,2.0,No Deposit,Furnished,apartment,2,6000.0,10.434782608695652
1447,2 BHK Apartment ,1000,Chembur,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,70.0
1448,1 BHK Apartment ,700,Virar,7500,,2.0,No Deposit,Semi-Furnished,apartment,1,7500.0,10.714285714285714
1449,1 BHK Apartment ,956,Wadala,41000,,1.0,No Deposit,Semi-Furnished,apartment,1,41000.0,42.88702928870293
1450,1 BHK Apartment ,774,Palava,8000,,1.0,No Deposit,Unfurnished,apartment,1,8000.0,10.335917312661499
1451,2 BHK Apartment ,1085,Palava,10500,,2.0,No Deposit,Unfurnished,apartment,2,5250.0,9.67741935483871
1452,2 BHK Apartment ,918,Dombivali,13500,,2.0,No Deposit,Unfurnished,apartment,2,6750.0,14.705882352941176
1453,2 BHK Apartment ,950,Khar West,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,73.6842105263158
1454,3 BHK Apartment ,2170,Khar West,190000,,3.0,No Deposit,Furnished,apartment,3,63333.333333333336,87.55760368663594
1455,1 BHK Apartment ,650,Kharghar,8500,,1.0,No Deposit,Unfurnished,apartment,1,8500.0,13.076923076923077
1456,1 BHK Apartment ,700,Jogeshwari West,40000,,2.0,No Deposit,Unfurnished,apartment,1,40000.0,57.142857142857146
1457,3 BHK Apartment ,1020,Chembur,78000,,3.0,No Deposit,Unfurnished,apartment,3,26000.0,76.47058823529412
1458,1 BHK Apartment ,602,Thane West,13999,,1.0,No Deposit,Semi-Furnished,apartment,1,13999.0,23.254152823920265
1459,1 BHK Apartment ,645,Thane West,15999,,1.0,No Deposit,Unfurnished,apartment,1,15999.0,24.804651162790698
1460,4 BHK Apartment ,1023,Chembur,55000,,2.0,No Deposit,Unfurnished,apartment,4,13750.0,53.763440860215056
1461,2 BHK Apartment ,960,Thane West,26000,,2.0,No Deposit,Semi-Furnished,apartment,2,13000.0,27.083333333333332
1462,2 BHK Apartment ,1200,Jogeshwari West,74000,,2.0,No Deposit,Unfurnished,apartment,2,37000.0,61.666666666666664
1463,2 BHK Apartment ,1100,Jogeshwari West,55000,,2.0,No Deposit,Unfurnished,apartment,2,27500.0,50.0
1464,1 BHK Apartment ,550,Jogeshwari West,30000,,1.0,No Deposit,Unfurnished,apartment,1,30000.0,54.54545454545455
1465,2 BHK Apartment ,1050,Powai,67000,,2.0,No Deposit,Semi-Furnished,apartment,2,33500.0,63.80952380952381
1466,2 BHK Apartment ,690,Kanjurmarg,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.130434782608695
1467,2 BHK Apartment ,690,Kanjurmarg,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.130434782608695
1468,2 BHK Apartment ,690,Kanjurmarg,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.130434782608695
1469,2 BHK Apartment ,690,Kanjurmarg,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.130434782608695
1470,2 BHK Apartment ,690,Kanjurmarg,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.130434782608695
1471,2 BHK Apartment ,690,Kanjurmarg,27000,,2.0,No Deposit,Semi-Furnished,apartment,2,13500.0,39.130434782608695
1472,2 BHK Apartment ,1050,Juhu,75000,,2.0,No Deposit,Semi-Furnished,apartment,2,37500.0,71.42857142857143
1473,2 BHK Apartment ,1725,Bandra West,250000,,3.0,No Deposit,Furnished,apartment,2,125000.0,144.92753623188406
1474,3 BHK Apartment ,1700,Bandra West,200000,,3.0,No Deposit,Furnished,apartment,3,66666.66666666667,117.6470588235294
1475,3 BHK Apartment ,2100,Bandra West,300000,,4.0,No Deposit,Semi-Furnished,apartment,3,100000.0,142.85714285714286
1476,5 BHK Apartment ,2400,Bandra West,300000,,6.0,No Deposit,Furnished,apartment,5,60000.0,125.0
1477,1 BHK Apartment ,650,Bandra West,65000,,1.0,No Deposit,Furnished,apartment,1,65000.0,100.0
1478,2 BHK Apartment ,1000,Khar,75000,,2.0,No Deposit,Semi-Furnished,apartment,2,37500.0,75.0
1479,3 BHK Apartment ,1400,Khar West,130000,,3.0,No Deposit,Semi-Furnished,apartment,3,43333.333333333336,92.85714285714286
1480,3 BHK Apartment ,1500,Jogeshwari West,98000,,3.0,No Deposit,Unfurnished,apartment,3,32666.666666666668,65.33333333333333
1481,2 BHK Apartment ,1035,Powai,48000,,2.0,No Deposit,Semi-Furnished,apartment,2,24000.0,46.3768115942029
1482,2 BHK Apartment ,980,Powai,43000,,2.0,No Deposit,Semi-Furnished,apartment,2,21500.0,43.87755102040816
1483,1 BHK Apartment ,600,Powai,31000,,1.0,No Deposit,Semi-Furnished,apartment,1,31000.0,51.666666666666664
1484,2 BHK Apartment ,1200,Powai,68000,,2.0,No Deposit,Semi-Furnished,apartment,2,34000.0,56.666666666666664
1485,2 BHK Apartment ,1200,Koper Khairane,28000,,2.0,No Deposit,Semi-Furnished,apartment,2,14000.0,23.333333333333332
1486,3 BHK Apartment ,1500,Powai,52000,,2.0,No Deposit,Unfurnished,apartment,3,17333.333333333332,34.666666666666664
1487,2 BHK Apartment ,1100,Powai,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
1488,3 BHK Apartment ,1250,Chembur,74000,,3.0,No Deposit,Unfurnished,apartment,3,24666.666666666668,59.2
1489,2 BHK Apartment ,1000,Chembur,45000,,2.0,No Deposit,Furnished,apartment,2,22500.0,45.0
1490,2 BHK Apartment ,1000,Deonar,50000,,2.0,No Deposit,Furnished,apartment,2,25000.0,50.0
1491,2 BHK Apartment ,750,Chembur,43000,,2.0,No Deposit,Semi-Furnished,apartment,2,21500.0,57.333333333333336
1492,2 BHK Apartment ,750,Chembur,45000,,2.0,No Deposit,Unfurnished,apartment,2,22500.0,60.0
1493,2 BHK Apartment ,850,Chembur,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,82.3529411764706
1494,2 BHK Apartment ,800,Chembur,45000,,2.0,No Deposit,Semi-Furnished,apartment,2,22500.0,56.25
1495,3 BHK Apartment ,1100,Seawoods,37000,,2.0,No Deposit,Semi-Furnished,apartment,3,12333.333333333334,33.63636363636363
1496,3 BHK Apartment ,1585,Ulwe,22000,,2.0,No Deposit,Unfurnished,apartment,3,7333.333333333333,13.8801261829653
1497,3 BHK Apartment ,1800,Seawoods,75000,,3.0,No Deposit,Unfurnished,apartment,3,25000.0,41.666666666666664
1498,3 BHK Apartment ,1500,Belapur,42000,,3.0,No Deposit,Unfurnished,apartment,3,14000.0,28.0
1499,3 BHK Apartment ,1500,Belapur,42000,,3.0,No Deposit,Unfurnished,apartment,3,14000.0,28.0
1500,3 BHK Apartment ,1900,Belapur,55000,,3.0,No Deposit,Semi-Furnished,apartment,3,18333.333333333332,28.94736842105263
1501,4 BHK Apartment ,3750,Bandra West,700000,,4.0,No Deposit,Semi-Furnished,apartment,4,175000.0,186.66666666666666
1502,1 BHK Apartment ,700,Bandra West,75000,,1.0,No Deposit,Semi-Furnished,apartment,1,75000.0,107.14285714285714
1503,4 BHK Apartment ,2700,Bandra West,1000000,,4.0,No Deposit,Semi-Furnished,apartment,4,250000.0,370.3703703703704
1504,2 BHK Apartment ,1000,Powai,52000,,2.0,No Deposit,Furnished,apartment,2,26000.0,52.0
1505,1 BHK Apartment ,550,Kandivali West,22000,,2.0,No Deposit,Unfurnished,apartment,1,22000.0,40.0
1506,3 BHK Apartment ,1200,Kalyan West,31000,,3.0,No Deposit,Semi-Furnished,apartment,3,10333.333333333334,25.833333333333332
1507,1 BHK Apartment ,650,Kalyan West,11000,,1.0,No Deposit,Semi-Furnished,apartment,1,11000.0,16.923076923076923
1508,3 BHK Apartment ,1200,Kalyan West,34000,,3.0,No Deposit,Furnished,apartment,3,11333.333333333334,28.333333333333332
1509,1 BHK Apartment ,650,Kalyan West,12000,,1.0,No Deposit,Semi-Furnished,apartment,1,12000.0,18.46153846153846
1510,1 BHK Apartment ,610,Kalyan West,15000,,2.0,No Deposit,Furnished,apartment,1,15000.0,24.59016393442623
1511,2 BHK Apartment ,950,Kalyan West,16000,,3.0,No Deposit,Unfurnished,apartment,2,8000.0,16.842105263157894
1512,3 BHK Apartment ,1528,Chembur,70000,,3.0,No Deposit,Semi-Furnished,apartment,3,23333.333333333332,45.81151832460733
1513,2 BHK Apartment ,1000,Powai,45000,,2.0,No Deposit,Unfurnished,apartment,2,22500.0,45.0
1514,3 BHK Apartment ,1400,Andheri East,85000,,3.0,No Deposit,Semi-Furnished,apartment,3,28333.333333333332,60.714285714285715
1515,1 BHK Apartment ,460,Tardeo,70000,,1.0,No Deposit,Furnished,apartment,1,70000.0,152.17391304347825
1516,4 BHK Apartment ,6000,Khar West,1200000,,4.0,No Deposit,Semi-Furnished,apartment,4,300000.0,200.0
1517,2 BHK Apartment ,850,Chembur,60000,,2.0,No Deposit,Furnished,apartment,2,30000.0,70.58823529411765
1518,3 BHK Apartment ,1800,Juhu,150000,,3.0,No Deposit,Unfurnished,apartment,3,50000.0,83.33333333333333
1519,2 BHK Apartment ,1000,Juhu,75000,,2.0,No Deposit,Semi-Furnished,apartment,2,37500.0,75.0
1520,2 BHK Apartment ,1000,Juhu,85000,,2.0,No Deposit,Furnished,apartment,2,42500.0,85.0
1521,4 BHK Apartment ,3000,Juhu,350000,,4.0,No Deposit,Semi-Furnished,apartment,4,87500.0,116.66666666666667
1522,3 BHK Apartment ,1200,Juhu,130000,,3.0,No Deposit,Semi-Furnished,apartment,3,43333.333333333336,108.33333333333333
1523,6 BHK Villa ,4500,Juhu,400000,,6.0,No Deposit,Semi-Furnished,villa,6,66666.66666666667,88.88888888888889
1524,3 BHK Apartment ,1600,Juhu,125000,,3.0,No Deposit,Furnished,apartment,3,41666.666666666664,78.125
1525,1 BHK Apartment ,700,Juhu,49000,,1.0,No Deposit,Furnished,apartment,1,49000.0,70.0
1526,3 BHK Apartment ,1500,Juhu,150000,,3.0,No Deposit,Semi-Furnished,apartment,3,50000.0,100.0
1527,3 BHK Apartment ,2000,Juhu,160000,,3.0,No Deposit,Furnished,apartment,3,53333.333333333336,80.0
1528,4 BHK Apartment ,2500,Juhu,300000,,4.0,No Deposit,Semi-Furnished,apartment,4,75000.0,120.0
1529,3 BHK Apartment ,1100,Juhu,100000,,3.0,No Deposit,Unfurnished,apartment,3,33333.333333333336,90.9090909090909
1530,3 BHK Apartment ,1500,Juhu,145000,,3.0,No Deposit,Semi-Furnished,apartment,3,48333.333333333336,96.66666666666667
1531,3 BHK Apartment ,1600,Juhu,125000,,4.0,No Deposit,Furnished,apartment,3,41666.666666666664,78.125
1532,2 BHK Apartment ,1000,Juhu,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,70.0
1533,2 BHK Apartment ,1400,Juhu,85000,,2.0,No Deposit,Furnished,apartment,2,42500.0,60.714285714285715
1534,2 BHK Apartment ,1100,Juhu,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,63.63636363636363
1535,4 BHK Apartment ,3000,Juhu,375000,,6.0,No Deposit,Semi-Furnished,apartment,4,93750.0,125.0
1536,2 BHK Apartment ,1050,Andheri West,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,66.66666666666667
1537,2 BHK Apartment ,1200,Juhu,70000,,2.0,No Deposit,Furnished,apartment,2,35000.0,58.333333333333336
1538,4 BHK Apartment ,3200,Juhu,250000,,4.0,No Deposit,Unfurnished,apartment,4,62500.0,78.125
1539,3 BHK Apartment ,1550,Sanpada,44500,,3.0,No Deposit,Semi-Furnished,apartment,3,14833.333333333334,28.70967741935484
1540,1 BHK Apartment ,750,Mira Road East,17000,,2.0,No Deposit,Semi-Furnished,apartment,1,17000.0,22.666666666666668
1541,2 BHK Apartment ,750,Chembur,55000,,2.0,No Deposit,Unfurnished,apartment,2,27500.0,73.33333333333333
1542,2 BHK Apartment ,750,Chembur,50000,,2.0,No Deposit,Semi-Furnished,apartment,2,25000.0,66.66666666666667
1543,1 BHK Apartment ,850,Chembur,37000,,1.0,No Deposit,Semi-Furnished,apartment,1,37000.0,43.529411764705884
1544,2 BHK Apartment ,850,Chembur,53000,,2.0,No Deposit,Furnished,apartment,2,26500.0,62.35294117647059
1545,3 BHK Apartment ,1900,Chembur,105000,,2.0,No Deposit,Unfurnished,apartment,3,35000.0,55.26315789473684
1546,1 BHK Apartment ,750,Kurla,35000,,1.0,No Deposit,Semi-Furnished,apartment,1,35000.0,46.666666666666664
1547,1 BHK Apartment ,650,Chembur,42000,,1.0,No Deposit,Furnished,apartment,1,42000.0,64.61538461538461
1548,1 BHK Apartment ,500,Chembur,45000,,1.0,No Deposit,Furnished,apartment,1,45000.0,90.0
1549,1 BHK Apartment ,550,Chembur,35000,,1.0,No Deposit,Semi-Furnished,apartment,1,35000.0,63.63636363636363
1550,1 BHK Apartment ,610,Kurla,43000,,2.0,No Deposit,Unfurnished,apartment,1,43000.0,70.49180327868852
1551,1 BHK Apartment ,650,Kurla,38000,,2.0,No Deposit,Unfurnished,apartment,1,38000.0,58.46153846153846
1552,1 BHK Apartment ,450,Chembur,32000,,1.0,No Deposit,Unfurnished,apartment,1,32000.0,71.11111111111111
1553,2 BHK Apartment ,750,Chembur,60000,,2.0,No Deposit,Semi-Furnished,apartment,2,30000.0,80.0
1554,2 BHK Apartment ,905,Kandivali West,37000,,2.0,No Deposit,Semi-Furnished,apartment,2,18500.0,40.88397790055249
1555,2 BHK Apartment ,985,Chembur,72000,,2.0,No Deposit,Unfurnished,apartment,2,36000.0,73.09644670050761
1556,2 BHK Apartment ,1020,Chembur,53000,,2.0,No Deposit,Semi-Furnished,apartment,2,26500.0,51.96078431372549
1557,2 BHK Apartment ,1040,Chembur,60000,,2.0,No Deposit,Semi-Furnished,apartment,2,30000.0,57.69230769230769
1558,2 BHK Apartment ,1100,Chembur,67000,,2.0,No Deposit,Unfurnished,apartment,2,33500.0,60.90909090909091
1559,2 BHK Apartment ,930,Ghatkopar West,45000,,2.0,No Deposit,Semi-Furnished,apartment,2,22500.0,48.38709677419355
1560,2 BHK Apartment ,985,Chembur,55000,,2.0,No Deposit,Unfurnished,apartment,2,27500.0,55.83756345177665
1561,2 BHK Apartment ,930,Chembur,55000,,2.0,No Deposit,Semi-Furnished,apartment,2,27500.0,59.13978494623656
1562,2 BHK Apartment ,975,Powai,46000,,2.0,No Deposit,Unfurnished,apartment,2,23000.0,47.17948717948718
1563,2 BHK Apartment ,1285,Powai,54000,,2.0,No Deposit,Furnished,apartment,2,27000.0,42.023346303501945
1564,2 BHK Apartment ,1050,Thane West,38000,,2.0,No Deposit,Furnished,apartment,2,19000.0,36.19047619047619
1565,1 BHK Apartment ,715,Thane West,20000,,1.0,No Deposit,Semi-Furnished,apartment,1,20000.0,27.972027972027973
1566,3 BHK Apartment ,1250,Thane West,53000,,3.0,No Deposit,Furnished,apartment,3,17666.666666666668,42.4
1567,2 BHK Apartment ,1020,Thane West,33000,,2.0,No Deposit,Semi-Furnished,apartment,2,16500.0,32.35294117647059
1568,3 BHK Apartment ,1250,Thane West,49000,,3.0,No Deposit,Furnished,apartment,3,16333.333333333334,39.2
1569,3 BHK Apartment ,1250,Chembur,78000,,3.0,No Deposit,Semi-Furnished,apartment,3,26000.0,62.4
1570,3 BHK Apartment ,1580,Chembur,85000,,3.0,No Deposit,Semi-Furnished,apartment,3,28333.333333333332,53.79746835443038
1571,3 BHK Apartment ,1400,Kandivali West,80000,,3.0,No Deposit,Furnished,apartment,3,26666.666666666668,57.142857142857146
1572,2 BHK Apartment ,1221,Chembur,52000,,2.0,No Deposit,Semi-Furnished,apartment,2,26000.0,42.58804258804259
1573,3 BHK Apartment ,1350,Thane West,32949,,3.0,No Deposit,Semi-Furnished,apartment,3,10983.0,24.406666666666666
1574,2 BHK Apartment ,950,Thane West,25000,,2.0,No Deposit,Furnished,apartment,2,12500.0,26.31578947368421
1575,3 BHK Apartment ,1221,Chembur,70000,,3.0,No Deposit,Unfurnished,apartment,3,23333.333333333332,57.33005733005733
