,house_type,house_size,location,price,numBalconies,numBathrooms,SecurityDeposit,Status,category,numBedrooms,ratio_per_room,PricePerSqft
283,2 BHK Apartment ,950,Ville Parle East,85000,,2.0,No Deposit,Semi-Furnished,apartment,2,42500.0,89.47368421052632
284,1 BHK Apartment ,680,Dombivli (West),15000,,1.0,No Deposit,Semi-Furnished,apartment,1,15000.0,22.058823529411764
285,2 BHK Apartment ,2900,Bandra West,250000,,4.0,No Deposit,Furnished,apartment,2,125000.0,86.20689655172414
286,3 BHK Independent House ,2000,Bandra West,99000,,4.0,No Deposit,Semi-Furnished,villa,3,33000.0,49.5
287,1 BHK Apartment ,700,Bandra West,50000,,1.0,No Deposit,Furnished,apartment,1,50000.0,71.42857142857143
288,1 BHK Apartment ,1000,Bandra West,90000,,1.0,No Deposit,Furnished,apartment,1,90000.0,90.0
289,2 BHK Apartment ,1500,Bandra West,199000,,2.0,No Deposit,Semi-Furnished,apartment,2,99500.0,132.66666666666666
290,3 BHK Apartment ,1600,Bandra West,170000,,2.0,No Deposit,Unfurnished,apartment,3,56666.666666666664,106.25
291,1 BHK Apartment ,800,Bandra West,75000,,2.0,No Deposit,Furnished,apartment,1,75000.0,93.75
292,2 BHK Apartment ,1500,Khar,135000,,3.0,No Deposit,Furnished,apartment,2,67500.0,90.0
293,1 BHK Apartment ,585,Thane West,22000,,1.0,No Deposit,Semi-Furnished,apartment,1,22000.0,37.60683760683761
294,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
295,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
296,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
297,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
298,1 BHK Apartment ,650,Titwala,7500,,1.0,No Deposit,Semi-Furnished,apartment,1,7500.0,11.538461538461538
299,2 BHK Apartment ,1050,Thane West,40000,,2.0,No Deposit,Furnished,apartment,2,20000.0,38.095238095238095
300,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
301,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
302,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
303,1 BHK Apartment ,530,Andheri East,32000,,2.0,No Deposit,Unfurnished,apartment,1,32000.0,60.37735849056604
304,1 BHK Apartment ,650,Titwala,7500,,1.0,No Deposit,Semi-Furnished,apartment,1,7500.0,11.538461538461538
305,1 BHK Apartment ,700,Colaba,90000,,1.0,No Deposit,Furnished,apartment,1,90000.0,128.57142857142858
306,1 RK Studio Apartment ,450,Titwala,5000,,1.0,No Deposit,Unfurnished,studio,1,5000.0,11.11111111111111
307,2 BHK Apartment ,1100,Andheri East,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
308,2 BHK Apartment ,1100,Andheri East,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
309,2 BHK Apartment ,1100,Andheri East,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
310,2 BHK Apartment ,1100,Andheri East,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
311,2 BHK Apartment ,1100,Andheri East,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
312,2 BHK Apartment ,1100,Andheri East,55000,,2.0,No Deposit,Furnished,apartment,2,27500.0,50.0
313,4 BHK Apartment ,2000,Ville Parle East,210000,,4.0,No Deposit,Semi-Furnished,apartment,4,52500.0,105.0
314,4 BHK Apartment ,2000,Ville Parle East,210000,,4.0,No Deposit,Semi-Furnished,apartment,4,52500.0,105.0
315,1 BHK Apartment ,650,Titwala,6500,,1.0,No Deposit,Unfurnished,apartment,1,6500.0,10.0
316,2 BHK Apartment ,840,Titwala,8500,,2.0,No Deposit,Unfurnished,apartment,2,4250.0,10.119047619047619
317,1 BHK Apartment ,710,Titwala,8500,,1.0,No Deposit,Unfurnished,apartment,1,8500.0,11.971830985915492
318,1 BHK Apartment ,640,Titwala,6500,,1.0,No Deposit,Unfurnished,apartment,1,6500.0,10.15625
319,2 BHK Apartment ,650,Nerul,17000,,2.0,No Deposit,Unfurnished,apartment,2,8500.0,26.153846153846153
320,2 BHK Apartment ,1200,Worli,120000,,2.0,No Deposit,Semi-Furnished,apartment,2,60000.0,100.0
321,3 BHK Apartment ,1400,Andheri East,68000,,2.0,No Deposit,Unfurnished,apartment,3,22666.666666666668,48.57142857142857
322,3 BHK Apartment ,1400,Andheri East,70000,,2.0,No Deposit,Furnished,apartment,3,23333.333333333332,50.0
323,3 BHK Apartment ,1400,Andheri East,70000,,2.0,No Deposit,Furnished,apartment,3,23333.333333333332,50.0
324,3 BHK Apartment ,1400,Andheri East,70000,,2.0,No Deposit,Furnished,apartment,3,23333.333333333332,50.0
325,2 BHK Apartment ,1090,Titwala,12000,,2.0,No Deposit,Unfurnished,apartment,2,6000.0,11.009174311926605
